SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,6721 Kennedy Ln,Falls Church,VA,22042,825000,5,4.5,Staffordale,4464,21780,2008,2,Garage,2,Active,,,,,825000,2005-04-15,619000,http://www.redfin.com/VA/Falls-Church/6721-Kennedy-Ln-22042/home/9635529,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10207500,Keller Williams Realty,N,Y,38.8544778,-77.177049,true
Past Sale,Single Family Residential,7410 Masonville Dr,Annandale,VA,22003,699900,4,2.0,Masonville Heights,2824,14152,1953,2,Garage,,Sold,,,,2018-02-16,699900,2018-03-23,699900,http://www.redfin.com/VA/Annandale/7410-Masonville-Dr-22003/home/9631951,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10094721,Coldwell Banker Residential Brokerage,N,Y,38.8481353,-77.2011505,false
Past Sale,Single Family Residential,3325 Monarch Ln,Annandale,VA,22003,649900,4,2.5,Prosperity Heights,2016,8400,1984,2,Garage,,Sold,,,,,635000,2018-03-06,635000,http://www.redfin.com/VA/Annandale/3325-Monarch-Ln-22003/home/9624077,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10063471,"United Realty, Inc.",N,Y,38.8601819,-77.2337121,false
MLS Listing,Single Family Residential,418 Sherrow Ave,Falls Church,VA,22046,1039950,5,4.5,Lee Crest,4008,7501,2006,2,Garage,96,Pending,,,,2018-02-25,1050000,2012-08-28,830360,http://www.redfin.com/VA/Falls-Church/418-Sherrow-Ave-22046/home/12034264,"Metropolitan Regional Information Systems, Inc. (MRIS)",FA10130790,Redfin Corporation,N,Y,38.8832773,-77.180486,false
Past Sale,Single Family Residential,7111 Davis Ct,Mclean,VA,22101,925000,5,3.5,Mc Lean West,2800,14881,1972,1,Garage,,Sold,,,,,894000,2018-03-26,894000,http://www.redfin.com/VA/McLean/7111-Davis-Ct-22101/home/9399322,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10126308,Keller Williams Realty,N,Y,38.9244597,-77.1919867,false
Past Sale,Single Family Residential,5712 27th Rd N,Arlington,VA,22207,950000,4,3.0,Whiting Estates,3224,8040,1964,0,,,Sold,,,,,950000,2018-03-02,950000,http://www.redfin.com/VA/Arlington/5712-27th-Rd-N-22207/home/11227208,"Metropolitan Regional Information Systems, Inc. (MRIS)",AR10132232,"Long & Foster Real Estate, Inc.",N,Y,38.8987722,-77.1454829,false
Past Sale,Townhouse,108 Lounsbury Pl,Falls Church,VA,22046,829900,3,3.5,Church View Townhouses,2400,2139,1998,2,Garage,,Sold,,,,,829900,2018-03-16,829900,http://www.redfin.com/VA/Falls-Church/108-Lounsbury-Pl-22046/home/12035676,"Metropolitan Regional Information Systems, Inc. (MRIS)",FA10137649,"EXP Realty, LLC.",N,Y,38.8806939,-77.1690853,false
Past Sale,Townhouse,507 Council Ct NE,Vienna,VA,22180,759900,3,3.5,Council Square 2,2664,6428,1981,2,Garage,,Sold,,,,,774900,2018-02-22,774900,http://www.redfin.com/VA/Vienna/507-Council-Ct-NE-22180/home/9448801,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10136842,"NetRealtyNow.com, LLC",N,Y,38.9099498,-77.2577347,false
Past Sale,Single Family Residential,7505-B Walton Ln,Annandale,VA,22003,998750,,,Moore And Keith,3775,31193,,3,Garage,,Sold,,,,,990000,2018-03-15,990000,http://www.redfin.com/VA/Annandale/7505B-Walton-Ln-22003/home/144674980,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10133481,Coldwell Banker Residential Brokerage,N,Y,38.8404449,-77.2044434,false
MLS Listing,Townhouse,5631 Lee Hwy,Arlington,VA,22207,786000,3,3.0,Merry Mews,2592,2756,1980,1,Garage,25,Active,,,,,786000,2002-05-31,362000,http://www.redfin.com/VA/Arlington/5631-Lee-Hwy-22207/home/11228149,"Metropolitan Regional Information Systems, Inc. (MRIS)",AR10185949,Keller Williams Realty,N,Y,38.8956163,-77.141663,false
